401.2,2.88E-03,2.73E-03,6.89E-02
401.3,2.92E-03,2.78E-03,7.00E-02
401.4,2.96E-03,2.82E-03,7.11E-02
401.5,3.01E-03,2.86E-03,7.22E-02
401.6,3.05E-03,2.90E-03,7.34E-02
401.7,3.09E-03,2.95E-03,7.45E-02
401.8,3.14E-03,2.99E-03,7.57E-02
401.9,3.18E-03,3.04E-03,7.69E-02
402,3.23E-03,3.08E-03,7.81E-02
402.1,3.27E-03,3.13E-03,7.94E-02
402.2,3.32E-03,3.17E-03,8.06E-02
402.3,3.37E-03,3.22E-03,8.19E-02
402.4,3.41E-03,3.27E-03,8.32E-02
402.5,3.46E-03,3.31E-03,8.45E-02
402.6,3.51E-03,3.36E-03,8.58E-02
402.7,3.56E-03,3.41E-03,8.71E-02
402.8,3.61E-03,3.46E-03,8.85E-02
402.9,3.66E-03,3.51E-03,8.98E-02
403,3.71E-03,3.56E-03,9.12E-02
403.1,3.76E-03,3.61E-03,9.26E-02
403.2,3.81E-03,3.66E-03,9.40E-02
403.3,3.86E-03,3.72E-03,9.54E-02
403.4,3.91E-03,3.77E-03,9.69E-02
403.5,3.97E-03,3.82E-03,9.83E-02
403.6,4.02E-03,3.88E-03,9.98E-02
403.7,4.07E-03,3.93E-03,1.01E-01
403.8,4.13E-03,3.99E-03,1.03E-01
403.9,4.18E-03,4.04E-03,1.04E-01
404,4.24E-03,4.10E-03,1.06E-01
404.1,4.30E-03,4.16E-03,1.07E-01
404.2,4.35E-03,4.21E-03,1.09E-01
404.3,4.41E-03,4.27E-03,1.11E-01
404.4,4.47E-03,4.33E-03,1.12E-01
404.5,4.53E-03,4.39E-03,1.14E-01
404.6,4.59E-03,4.45E-03,1.16E-01
404.7,4.65E-03,4.51E-03,1.17E-01
404.8,4.71E-03,4.57E-03,1.19E-01
404.9,4.77E-03,4.64E-03,1.21E-01
405,4.83E-03,4.70E-03,1.22E-01
405.1,4.90E-03,4.76E-03,1.24E-01
405.2,4.96E-03,4.83E-03,1.26E-01
405.3,5.02E-03,4.89E-03,1.28E-01
405.4,5.09E-03,4.96E-03,1.30E-01
405.5,5.15E-03,5.03E-03,1.31E-01
405.6,5.22E-03,5.09E-03,1.33E-01
405.7,5.29E-03,5.16E-03,1.35E-01
405.8,5.36E-03,5.23E-03,1.37E-01
405.9,5.42E-03,5.30E-03,1.39E-01
406,5.49E-03,5.37E-03,1.41E-01
406.1,5.56E-03,5.44E-03,1.43E-01
406.2,5.63E-03,5.52E-03,1.45E-01
406.3,5.70E-03,5.59E-03,1.47E-01
406.4,5.78E-03,5.66E-03,1.49E-01
406.5,5.85E-03,5.74E-03,1.51E-01
406.6,5.92E-03,5.81E-03,1.53E-01
406.7,5.99E-03,5.89E-03,1.55E-01
406.8,6.07E-03,5.96E-03,1.57E-01
406.9,6.14E-03,6.04E-03,1.59E-01
407,6.22E-03,6.12E-03,1.61E-01
407.1,6.30E-03,6.20E-03,1.63E-01
407.2,6.37E-03,6.28E-03,1.65E-01
407.3,6.45E-03,6.36E-03,1.68E-01
407.4,6.53E-03,6.44E-03,1.70E-01
407.5,6.61E-03,6.52E-03,1.72E-01
